time;probability;TimeName
01:15;0.000713883;Weekend
01:20;0.000686868;Weekend
01:25;0.00066084;Weekend
01:30;0.000635765;Weekend
01:35;0.000611611;Weekend
01:40;0.000588346;Weekend
01:45;0.00056594;Weekend
01:50;0.000544363;Weekend
01:55;0.000523585;Weekend
02:00;0.000513488;Weekend
02:05;0.000503581;Weekend
02:10;0.000493859;Weekend
02:15;0.000484321;Weekend
02:20;0.000474962;Weekend
02:25;0.00046578;Weekend
02:30;0.00045677;Weekend
02:35;0.000447932;Weekend
02:40;0.00043926;Weekend
02:45;0.000430752;Weekend
02:50;0.000422406;Weekend
02:55;0.000414218;Weekend
03:00;0.000406185;Weekend
03:05;0.000398305;Weekend
03:10;0.000390574;Weekend
03:15;0.000382991;Weekend
03:20;0.000375552;Weekend
03:25;0.000368254;Weekend
03:30;0.000361096;Weekend
03:35;0.000361096;Weekend
03:40;0.000368254;Weekend
03:45;0.000375552;Weekend
03:50;0.000382991;Weekend
03:55;0.000390574;Weekend
04:00;0.000398305;Weekend
04:05;0.000406185;Weekend
04:10;0.000414218;Weekend
04:15;0.000422406;Weekend
04:20;0.000426559;Weekend
04:25;0.000422406;Weekend
04:30;0.000414218;Weekend
04:35;0.000406185;Weekend
04:40;0.000398305;Weekend
04:45;0.000390574;Weekend
04:50;0.000382991;Weekend
04:55;0.000375552;Weekend
05:00;0.000368254;Weekend
05:05;0.000361096;Weekend
05:10;0.000354075;Weekend
05:15;0.000337102;Weekend
05:20;0.000320929;Weekend
05:25;0.00030552;Weekend
05:30;0.00029084;Weekend
05:35;0.000276855;Weekend
05:40;0.000263533;Weekend
05:45;0.000250844;Weekend
05:50;0.000239941;Weekend
05:55;0.000238759;Weekend
06:00;0.000242323;Weekend
06:05;0.000241129;Weekend
06:10;0.000239941;Weekend
06:15;0.000238759;Weekend
06:20;0.000250844;Weekend
06:25;0.000263533;Weekend
06:30;0.000276855;Weekend
06:35;0.00029084;Weekend
06:40;0.00030552;Weekend
06:45;0.000320929;Weekend
06:50;0.000337102;Weekend
06:55;0.000354075;Weekend
07:00;0.000361096;Weekend
07:05;0.000368254;Weekend
07:10;0.000375552;Weekend
07:15;0.000382991;Weekend
07:20;0.000390574;Weekend
07:25;0.000398305;Weekend
07:30;0.000406185;Weekend
07:35;0.000414218;Weekend
07:40;0.000422406;Weekend
07:45;0.000430752;Weekend
07:50;0.00043926;Weekend
07:55;0.000447932;Weekend
08:00;0.00045677;Weekend
08:05;0.00046578;Weekend
08:10;0.000474962;Weekend
08:15;0.000484321;Weekend
08:20;0.000493859;Weekend
08:25;0.000503581;Weekend
08:30;0.000513488;Weekend
08:35;0.000523585;Weekend
08:40;0.000544363;Weekend
08:45;0.00056594;Weekend
08:50;0.000588346;Weekend
08:55;0.000611611;Weekend
09:00;0.000635765;Weekend
09:05;0.00066084;Weekend
09:10;0.000686868;Weekend
09:15;0.000713883;Weekend
09:20;0.00074192;Weekend
09:25;0.000771012;Weekend
09:30;0.000801197;Weekend
09:35;0.000832512;Weekend
09:40;0.000864994;Weekend
09:45;0.000898684;Weekend
09:50;0.00093362;Weekend
09:55;0.000969845;Weekend
10:00;0.0010074;Weekend
10:05;0.001046327;Weekend
10:10;0.001086672;Weekend
10:15;0.001128477;Weekend
10:20;0.00117179;Weekend
10:25;0.001216656;Weekend
10:30;0.001263123;Weekend
10:35;0.001311238;Weekend
10:40;0.001361051;Weekend
10:45;0.001412611;Weekend
10:50;0.001465968;Weekend
10:55;0.001521172;Weekend
11:00;0.001578275;Weekend
11:05;0.001637328;Weekend
11:10;0.001698384;Weekend
11:15;0.001761494;Weekend
11:20;0.001826712;Weekend
11:25;0.001894088;Weekend
11:30;0.001963677;Weekend
11:35;0.00203553;Weekend
11:40;0.002109699;Weekend
11:45;0.002186235;Weekend
11:50;0.002265191;Weekend
11:55;0.002346615;Weekend
12:00;0.002430559;Weekend
12:05;0.002517069;Weekend
12:10;0.002606193;Weekend
12:15;0.002697977;Weekend
